frame_nmr,truck_id,truck_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
162,1.0,[581.5484939556379 181.37389378308552 762.7367478511567 384.87973217794996],[662.42236328125 330.12298583984375 720.085693359375 347.02655029296875],0.5700660347938538,RD,0.06644203656549671
180,1.0,[581.6407224872163 183.48809005292674 790.9973391315165 412.3399551409909],[677.0660400390625 345.34637451171875 741.9957275390625 365.00543212890625],0.5914300084114075,[A86812],0.007740217886737779
181,1.0,[581.4994789358523 179.84476628055435 791.5448779472824 410.1450854728132],[679.084716796875 342.54425048828125 737.724365234375 364.24859619140625],0.7594648003578186,OD,0.020844461262323675
185,1.0,[588.790108663069 169.60238042034223 805.0419198276203 405.1207545111034],[700.3883056640625 337.772705078125 750.733154296875 357.658447265625],0.7524051666259766,870149,0.04798405639394584
186,1.0,[595.3772938005905 167.5018644492323 813.1743124281186 403.5392070266011],[710.7120361328125 336.3597717285156 758.8133544921875 357.2283630371094],0.8113647103309631,8701,0.15692400932312012
190,1.0,[611.2924369427792 169.7704654994768 834.7352041819536 410.2667029356619],[721.2022705078125 343.6476135253906 778.0511474609375 364.9392395019531],0.6078030467033386,8Z0G,0.050835590809583664
191,1.0,[612.5872264327267 169.27695658738526 837.3624652989314 411.21459058730045],[722.0955200195312 342.61383056640625 787.2854614257812 364.89031982421875],0.6771413683891296,8770648,0.027170119744069725
192,1.0,[614.5550556833033 168.80600360752572 841.3442235228382 412.4146850212002],[722.74755859375 342.82781982421875 787.080322265625 365.86773681640625],0.761401355266571,E1870848,0.029828461021215464
193,1.0,[620.6751373504383 165.7841424046287 848.4518383102456 410.72653320950656],[729.91552734375 342.0648193359375 794.45703125 361.989501953125],0.6351703405380249,7O4,0.058045964608371026
195,1.0,[632.6525909003716 161.77282927664237 866.3814739490612 409.7041469717341],[753.8231201171875 340.87237548828125 811.6539306640625 361.47528076171875],0.6743667125701904,02,0.3252550814894252
196,1.0,[635.9637478432489 160.64352246818564 871.6929669060335 409.58703367257294],[755.3956298828125 339.9222717285156 813.8226318359375 360.6943664550781],0.7841435670852661,71820410},0.008411965050381977
197,1.0,[635.986981250997 158.74269324379716 874.0438625826904 409.11755816829293],[756.695556640625 338.5638427734375 813.5579833984375 360.2548828125],0.8387864232063293,82C610,0.05790826406085926
198,1.0,[633.1569703435694 159.66351946443814 873.3353300894394 411.5652589194763],[753.582275390625 341.3650817871094 813.313720703125 364.1351013183594],0.7416113615036011,022440,0.04922789789854349
199,1.0,[631.6049738667429 159.65507259575782 873.2044819282436 413.1433276731883],[749.870361328125 341.9609375 809.0433349609375 364.822265625],0.6564710736274719,(1920140,0.06699744044722827
200,1.0,[629.5928696509615 158.18211494896707 872.8778118575045 412.96458810885485],[755.0560302734375 340.97900390625 806.8729248046875 363.33551025390625],0.8122908473014832,ER'704,0.10259054288925053
201,1.0,[629.4768199901997 155.02407630165615 874.4627010541498 411.46680189170115],[755.3202514648438 339.25482177734375 814.5748901367188 360.06744384765625],0.8274479508399963,ER920440,0.11667291139887212
202,1.0,[630.9968183509121 151.47812384089914 877.7356563584843 409.7015414713652],[758.0375366210938 338.2672424316406 817.0370483398438 358.4922180175781],0.7829223275184631,4209,0.04144304618239403
203,1.0,[633.0628596768601 148.68820873070436 881.5107081852117 408.7157614524407],[762.6190185546875 338.371826171875 817.7550048828125 358.29827880859375],0.802237331867218,0A9208,0.23212086284907943
204,1.0,[631.5846246512723 147.452859213575 881.1786775376794 409.16931627821145],[754.7633056640625 338.51214599609375 816.9735107421875 358.786865234375],0.8094549775123596,9206,0.22471393422169458
205,1.0,[630.6965054304858 144.49673831614416 881.4431770869141 407.7873143825583],[754.4981689453125 333.55657958984375 819.161865234375 357.02459716796875],0.8102684020996094,@N9208240,0.13517644073640794
206,1.0,[630.7079148108463 142.28097603635757 882.8892445274993 407.26930570736073],[753.843017578125 332.3142395019531 821.7296142578125 356.6252746582031],0.7983110547065735,@A9208740},0.1403466509549425
207,1.0,[630.6611131686386 140.15050853902304 883.7296823698548 406.4760120151436],[753.3167724609375 330.154541015625 817.5347900390625 354.7625732421875],0.7138577699661255,@N9208740],0.12710758599384622
208,1.0,[630.6411520682317 137.07969413036014 884.9084676256335 404.8625322658802],[754.970458984375 328.77020263671875 817.01416015625 351.71649169921875],0.6360538601875305,@N9209,0.1431712537900298
209,1.0,[631.3481097861553 135.0303392538464 887.0835163021794 404.33310476046404],[760.385986328125 327.6590270996094 817.433837890625 352.1327819824219],0.7718194723129272,(@H9208,0.2279844018644584
210,1.0,[631.5158192178831 133.4874122040134 888.3772268080265 404.24273795848126],[760.4732666015625 327.81866455078125 819.1715087890625 352.14776611328125],0.7616396546363831,@H9208,0.14202596978188922
211,1.0,[632.0665265228115 131.85773324576053 889.8031540759407 404.23307605467824],[760.3939208984375 327.655517578125 820.5106201171875 352.0487060546875],0.7284810543060303,@H9204,0.19312311224440012
212,1.0,[632.3441370116961 129.89010824186562 890.788693284142 404.3001811781975],[760.9036865234375 327.4527587890625 820.5386962890625 352.0435791015625],0.7543901801109314,@A9204,0.15207521871758406
213,1.0,[632.9738419220968 128.9204616115665 892.6487668627113 404.5411147141336],[761.9432373046875 328.1968078613281 825.38232421875 351.8727722167969],0.7464907765388489,@M920840,0.490256204723452
214,1.0,[636.2827716802465 127.79935330170761 897.0205768451999 405.0931239279183],[769.4094848632812 327.2584228515625 830.6680297851562 350.485107421875],0.7384366989135742,(BH9208,0.1831518797012476
215,1.0,[640.8547533955164 126.21350863121617 902.5898017821532 404.97761373508774],[774.193359375 327.4342956542969 834.680419921875 351.7852478027344],0.7697606682777405,(@K920840,0.18338537220175416
216,1.0,[642.7784673568192 126.08307106394432 906.5361521681868 406.427541606108],[776.9066162109375 329.81573486328125 837.78173828125 353.11395263671875],0.7670781016349792,[BH920840,0.18065759784029883
217,1.0,[643.4484250722883 124.97487517460817 908.700042917477 407.20895104578665],[776.6988525390625 329.65191650390625 836.5626220703125 355.09954833984375],0.8335354924201965,IBN9208,0.20619319351767046
218,1.0,[644.5067378868374 124.60587389931914 910.9388567395407 408.29001922597377],[777.8848876953125 329.1116943359375 842.8604736328125 356.1361083984375],0.8739566206932068,(9205,0.30541685234334537
219,1.0,[644.9579045773914 122.44146931250879 913.9441318993352 408.2284378489442],[776.170166015625 329.63372802734375 845.678466796875 352.52130126953125],0.7251056432723999,BA920840],0.16357300673636052
220,1.0,[646.1932768864149 119.63238242859626 917.2682249057789 407.90426523337845],[778.10498046875 329.47723388671875 846.082275390625 352.08831787109375],0.7444664835929871,BA920840|,0.3488840198654364
221,1.0,[644.7362889571119 116.38371590478505 918.4957785751723 407.37295633806866],[777.3396606445312 327.7011413574219 846.5075073242188 351.9975280761719],0.799571692943573,7ER920840|,0.18859040185024312
222,1.0,[642.6054576414493 113.49300906422584 919.0565130729348 407.05166960083193],[775.3453369140625 326.401611328125 846.5029296875 351.547607421875],0.7137882113456726,OR'920840|,0.027770819083469185
223,1.0,[641.4926392634353 111.5900717970126 920.3504101105042 407.13782067826537],[777.6658935546875 325.8797912597656 847.328125 351.7511291503906],0.8429146409034729,BR920640,0.20404505679359258
224,1.0,[641.3297344772736 109.84110895715975 922.6535914302617 407.6848462354914],[782.5391845703125 326.96124267578125 849.6160888671875 352.15411376953125],0.8180586099624634,[BA920640,0.08098935525217596
225,1.0,[643.3458039284517 108.41625773762266 927.2525518807233 408.0214621835954],[786.8187255859375 326.49884033203125 853.3087158203125 351.71514892578125],0.8429800271987915,BA920640|,0.19886374106507243
226,1.0,[646.6201723740074 108.3572594176878 932.3511286764766 409.0112556708649],[790.5601806640625 326.57220458984375 858.5242919921875 351.63262939453125],0.8310486078262329,BA920640,0.28187567101352967
227,1.0,[648.8369579925319 107.12699265669335 936.4082721523022 408.7661073898116],[791.6249389648438 326.6246337890625 861.1083374023438 351.581787109375],0.8509698510169983,BA920640|,0.24379213581479275
